id,y,campaign,contact_group,contact,month,day,age,job,education,balance,poutcome
13591,no,1,Low Contact,cellular,jul,9,48,services,secondary,124,unknown
13592,no,2,Low Contact,telephone,jul,9,51,services,secondary,260,unknown
13593,no,1,Low Contact,cellular,jul,9,29,blue-collar,secondary,1958,unknown
13594,no,3,High Contact,cellular,jul,9,54,self-employed,tertiary,231,unknown
13595,no,1,Low Contact,cellular,jul,9,48,technician,secondary,469,unknown
13596,no,1,Low Contact,cellular,jul,9,30,blue-collar,secondary,214,unknown
13597,no,5,High Contact,cellular,jul,9,30,admin,secondary,350,unknown
13598,no,2,Low Contact,cellular,jul,9,34,blue-collar,secondary,1,unknown
13599,no,1,Low Contact,cellular,jul,9,56,technician,secondary,778,unknown
13600,no,1,Low Contact,cellular,jul,9,56,retired,secondary,343,unknown
13601,no,3,High Contact,cellular,jul,9,40,blue-collar,secondary,252,unknown
13602,no,1,Low Contact,cellular,jul,9,49,management,tertiary,0,unknown
13603,no,1,Low Contact,cellular,jul,9,39,blue-collar,primary,-176,unknown
13604,no,1,Low Contact,cellular,jul,9,38,blue-collar,primary,-257,unknown
13605,no,1,Low Contact,cellular,jul,9,51,management,secondary,3180,unknown
13606,no,7,High Contact,cellular,jul,9,28,blue-collar,secondary,368,unknown
13607,no,1,Low Contact,cellular,jul,9,45,blue-collar,primary,942,unknown
13608,no,1,Low Contact,cellular,jul,9,34,services,secondary,81,unknown
13609,no,1,Low Contact,telephone,jul,9,26,blue-collar,secondary,1101,unknown
13610,no,1,Low Contact,telephone,jul,9,36,management,tertiary,6404,unknown
13611,no,1,Low Contact,telephone,jul,9,32,blue-collar,secondary,0,unknown
13612,no,1,Low Contact,cellular,jul,9,34,services,secondary,49,unknown
13613,no,1,Low Contact,telephone,jul,9,49,housemaid,primary,0,unknown
13614,no,1,Low Contact,cellular,jul,9,34,technician,secondary,550,unknown
13615,no,1,Low Contact,cellular,jul,9,59,entrepreneur,tertiary,-869,unknown
13616,no,1,Low Contact,cellular,jul,9,35,blue-collar,secondary,-258,unknown
13617,no,1,Low Contact,cellular,jul,9,29,management,tertiary,-223,unknown
13618,no,1,Low Contact,cellular,jul,9,31,services,secondary,203,unknown
13619,no,1,Low Contact,cellular,jul,9,51,blue-collar,unknown,1432,unknown
13620,no,6,High Contact,cellular,jul,9,37,admin,secondary,0,unknown
13621,no,1,Low Contact,cellular,jul,9,42,services,secondary,0,unknown
13622,no,1,Low Contact,cellular,jul,9,51,blue-collar,secondary,104,unknown
13623,no,1,Low Contact,cellular,jul,9,30,blue-collar,secondary,1,unknown
13624,no,4,High Contact,cellular,jul,9,43,technician,primary,13,unknown
13625,no,3,High Contact,cellular,jul,9,49,unemployed,secondary,66,unknown
13626,no,5,High Contact,cellular,jul,9,27,technician,secondary,282,unknown
13627,no,1,Low Contact,telephone,jul,9,45,technician,secondary,0,unknown
13628,no,2,Low Contact,cellular,jul,9,27,blue-collar,primary,0,unknown
13629,no,1,Low Contact,telephone,jul,9,33,blue-collar,primary,0,unknown
13630,no,3,High Contact,cellular,jul,9,35,technician,tertiary,364,unknown
13631,no,1,Low Contact,telephone,jul,9,52,blue-collar,primary,98,unknown
13632,no,7,High Contact,telephone,jul,9,50,admin,primary,-75,unknown
13633,no,1,Low Contact,cellular,jul,9,59,housemaid,primary,370,unknown
13634,no,1,Low Contact,cellular,jul,9,33,management,tertiary,437,unknown
13635,no,1,Low Contact,cellular,jul,9,41,entrepreneur,secondary,1249,unknown
13636,no,1,Low Contact,cellular,jul,9,47,self-employed,secondary,424,unknown
13637,no,1,Low Contact,cellular,jul,9,46,blue-collar,secondary,6253,unknown
13638,no,4,High Contact,cellular,jul,9,37,technician,tertiary,512,unknown
13639,yes,5,High Contact,cellular,jul,9,26,technician,secondary,-119,unknown
13640,no,2,Low Contact,cellular,jul,9,32,admin,tertiary,57,unknown
13641,no,8,High Contact,unknown,jul,9,58,unemployed,primary,3884,unknown
13642,no,3,High Contact,cellular,jul,9,53,management,primary,-139,unknown
13643,no,1,Low Contact,telephone,jul,9,39,technician,secondary,1385,unknown
13644,no,11,High Contact,cellular,jul,9,33,blue-collar,primary,636,unknown
13645,no,1,Low Contact,cellular,jul,9,52,housemaid,primary,0,unknown
13646,no,2,Low Contact,cellular,jul,9,31,blue-collar,primary,-147,unknown
13647,no,2,Low Contact,cellular,jul,9,26,blue-collar,secondary,818,unknown
13648,no,2,Low Contact,cellular,jul,9,37,blue-collar,secondary,982,unknown
13649,no,1,Low Contact,cellular,jul,9,35,blue-collar,primary,13,unknown
13650,no,1,Low Contact,telephone,jul,9,52,admin,secondary,0,unknown
13651,no,3,High Contact,cellular,jul,9,38,management,tertiary,633,unknown
13652,no,5,High Contact,cellular,jul,9,50,management,tertiary,0,unknown
13653,no,16,High Contact,unknown,jul,9,42,blue-collar,secondary,0,unknown
13654,no,2,Low Contact,cellular,jul,9,35,management,tertiary,153,unknown
13655,no,1,Low Contact,telephone,jul,9,58,housemaid,primary,0,unknown
13656,no,1,Low Contact,cellular,jul,9,52,retired,tertiary,350,unknown
13657,no,3,High Contact,telephone,jul,9,56,management,tertiary,318,unknown
13658,no,2,Low Contact,cellular,jul,9,31,blue-collar,primary,498,unknown
13659,no,1,Low Contact,telephone,jul,9,47,admin,secondary,3434,unknown
13660,yes,1,Low Contact,cellular,jul,9,32,management,tertiary,794,unknown
13661,no,17,High Contact,cellular,jul,9,47,blue-collar,secondary,-380,unknown
13662,no,5,High Contact,unknown,jul,9,32,admin,secondary,-17,unknown
13663,no,1,Low Contact,cellular,jul,9,47,services,secondary,0,unknown
13664,no,20,High Contact,unknown,jul,9,60,retired,primary,1017,unknown
13665,no,1,Low Contact,telephone,jul,9,35,housemaid,primary,0,unknown
13666,no,1,Low Contact,unknown,jul,9,47,technician,secondary,-3,unknown
13667,yes,4,High Contact,cellular,jul,9,33,blue-collar,primary,-191,unknown
13668,no,5,High Contact,unknown,jul,9,60,unknown,tertiary,2450,unknown
13669,no,3,High Contact,cellular,jul,9,51,services,secondary,234,unknown
13670,yes,5,High Contact,cellular,jul,9,31,management,tertiary,409,unknown
13671,no,4,High Contact,unknown,jul,9,41,blue-collar,primary,74,unknown
13672,no,2,Low Contact,cellular,jul,9,37,admin,tertiary,224,unknown
13673,no,1,Low Contact,telephone,jul,9,48,blue-collar,primary,51,unknown
13674,no,1,Low Contact,telephone,jul,9,36,blue-collar,primary,0,unknown
13675,no,1,Low Contact,unknown,jul,9,44,entrepreneur,tertiary,0,unknown
13676,no,43,High Contact,telephone,jul,9,51,blue-collar,unknown,41,unknown
13677,no,5,High Contact,telephone,jul,9,41,blue-collar,unknown,2113,unknown
13678,no,2,Low Contact,cellular,jul,9,49,technician,secondary,313,unknown
13679,no,1,Low Contact,cellular,jul,9,32,entrepreneur,unknown,73,unknown
13680,no,1,Low Contact,cellular,jul,9,32,housemaid,primary,0,unknown
13681,no,4,High Contact,cellular,jul,9,40,admin,secondary,2621,unknown
13682,no,4,High Contact,telephone,jul,9,56,management,secondary,237,unknown
13683,no,1,Low Contact,cellular,jul,9,29,management,tertiary,0,unknown
13684,no,1,Low Contact,telephone,jul,9,50,services,secondary,1683,unknown
13685,no,6,High Contact,cellular,jul,9,27,blue-collar,secondary,228,unknown
13686,no,1,Low Contact,telephone,jul,9,29,admin,secondary,1,unknown
13687,yes,6,High Contact,cellular,jul,9,49,blue-collar,primary,3,unknown
13688,no,3,High Contact,unknown,jul,9,38,blue-collar,secondary,-2093,unknown
13689,no,1,Low Contact,unknown,jul,9,25,management,tertiary,710,unknown
13690,no,6,High Contact,unknown,jul,9,39,blue-collar,primary,1742,unknown
13691,yes,2,Low Contact,cellular,jul,9,27,unemployed,primary,9,unknown
13692,no,1,Low Contact,cellular,jul,9,33,blue-collar,primary,2,unknown
13693,no,1,Low Contact,cellular,jul,9,42,management,tertiary,199,unknown
13694,no,1,Low Contact,cellular,jul,9,56,self-employed,secondary,800,unknown
13695,no,1,Low Contact,cellular,jul,9,56,management,secondary,1560,unknown
13696,no,1,Low Contact,cellular,jul,9,36,admin,primary,227,unknown
13697,no,4,High Contact,cellular,jul,9,42,housemaid,tertiary,-560,unknown
13698,no,1,Low Contact,unknown,jul,9,28,self-employed,tertiary,0,unknown
13699,no,1,Low Contact,cellular,jul,9,42,technician,secondary,2030,unknown
13700,no,12,High Contact,cellular,jul,9,50,admin,secondary,858,unknown
13701,no,4,High Contact,cellular,jul,9,34,blue-collar,primary,-319,unknown
13702,yes,3,High Contact,cellular,jul,9,30,blue-collar,secondary,155,unknown
13703,no,1,Low Contact,cellular,jul,10,32,services,secondary,983,unknown
13704,no,1,Low Contact,cellular,jul,10,41,blue-collar,secondary,-194,unknown
13705,no,1,Low Contact,telephone,jul,10,39,blue-collar,secondary,1309,unknown
13706,no,1,Low Contact,cellular,jul,10,42,blue-collar,secondary,-274,unknown
13707,no,1,Low Contact,cellular,jul,10,41,technician,unknown,30,unknown
13708,no,1,Low Contact,cellular,jul,10,32,admin,tertiary,1,unknown
13709,no,2,Low Contact,telephone,jul,10,49,entrepreneur,secondary,-1965,unknown
13710,no,1,Low Contact,cellular,jul,10,52,admin,secondary,3422,unknown
13711,no,1,Low Contact,cellular,jul,10,51,services,secondary,121,unknown
13712,no,1,Low Contact,cellular,jul,10,44,management,tertiary,119,unknown
13713,no,1,Low Contact,telephone,jul,10,39,services,secondary,0,unknown
13714,no,1,Low Contact,cellular,jul,10,40,blue-collar,primary,137,unknown
13715,no,1,Low Contact,cellular,jul,10,40,management,unknown,419,unknown
13716,no,1,Low Contact,cellular,jul,10,54,management,tertiary,0,unknown
13717,no,1,Low Contact,cellular,jul,10,42,admin,secondary,-728,unknown
13718,no,1,Low Contact,cellular,jul,10,46,admin,secondary,2583,unknown
13719,no,1,Low Contact,cellular,jul,10,48,blue-collar,secondary,-367,unknown
13720,no,4,High Contact,cellular,jul,10,37,entrepreneur,secondary,2055,unknown
13721,no,1,Low Contact,cellular,jul,10,57,management,tertiary,1410,unknown
13722,yes,1,Low Contact,cellular,jul,10,35,blue-collar,secondary,1330,unknown
13723,no,1,Low Contact,cellular,jul,10,29,management,tertiary,55,unknown
13724,no,1,Low Contact,cellular,jul,10,47,management,unknown,184,unknown
13725,no,1,Low Contact,cellular,jul,10,30,technician,secondary,10152,unknown
13726,no,3,High Contact,cellular,jul,10,60,retired,primary,71,unknown
13727,no,6,High Contact,cellular,jul,10,27,services,secondary,-266,unknown
13728,no,1,Low Contact,cellular,jul,10,55,management,primary,199,unknown
13729,no,1,Low Contact,cellular,jul,10,52,entrepreneur,primary,-104,unknown
13730,no,2,Low Contact,cellular,jul,10,42,self-employed,secondary,97,unknown
13731,no,1,Low Contact,cellular,jul,10,28,technician,secondary,477,unknown
13732,yes,4,High Contact,cellular,jul,10,26,blue-collar,secondary,-29,unknown
13733,no,1,Low Contact,cellular,jul,10,35,blue-collar,unknown,1084,unknown
13734,no,1,Low Contact,telephone,jul,10,44,blue-collar,primary,-237,unknown
13735,no,1,Low Contact,cellular,jul,10,38,services,tertiary,-49,unknown
13736,no,1,Low Contact,cellular,jul,10,39,services,primary,4453,unknown
13737,no,5,High Contact,cellular,jul,10,33,services,secondary,-56,unknown
13738,no,2,Low Contact,telephone,jul,10,28,blue-collar,secondary,475,unknown
13739,no,1,Low Contact,cellular,jul,10,35,admin,secondary,725,unknown
13740,no,1,Low Contact,cellular,jul,10,31,blue-collar,secondary,2,unknown
13741,no,1,Low Contact,cellular,jul,10,56,retired,secondary,289,unknown
13742,no,1,Low Contact,cellular,jul,10,48,entrepreneur,secondary,725,unknown
13743,no,1,Low Contact,cellular,jul,10,53,technician,secondary,768,unknown
13744,no,1,Low Contact,cellular,jul,10,54,admin,secondary,-437,unknown
13745,no,1,Low Contact,cellular,jul,10,49,blue-collar,secondary,360,unknown
13746,no,1,Low Contact,cellular,jul,10,50,blue-collar,primary,-677,unknown
13747,no,1,Low Contact,cellular,jul,10,32,technician,tertiary,113,unknown
13748,no,1,Low Contact,cellular,jul,10,40,admin,secondary,540,unknown
13749,no,1,Low Contact,cellular,jul,10,44,management,tertiary,-710,unknown
13750,no,1,Low Contact,cellular,jul,10,34,management,tertiary,0,unknown
13751,no,1,Low Contact,cellular,jul,10,38,entrepreneur,secondary,15,unknown
13752,no,1,Low Contact,cellular,jul,10,46,technician,secondary,218,unknown
13753,no,1,Low Contact,cellular,jul,10,30,admin,secondary,-68,unknown
13754,no,1,Low Contact,cellular,jul,10,60,blue-collar,secondary,721,unknown
13755,no,1,Low Contact,cellular,jul,10,47,admin,secondary,2,unknown
13756,no,1,Low Contact,cellular,jul,10,47,management,secondary,894,unknown
13757,no,1,Low Contact,cellular,jul,10,40,housemaid,primary,-21,unknown
13758,no,1,Low Contact,cellular,jul,10,42,blue-collar,secondary,1261,unknown
13759,no,1,Low Contact,telephone,jul,10,39,housemaid,primary,1146,unknown
13760,yes,1,Low Contact,cellular,jul,10,30,blue-collar,secondary,167,unknown
13761,no,1,Low Contact,cellular,jul,10,29,services,secondary,13,unknown
13762,no,1,Low Contact,cellular,jul,10,38,blue-collar,secondary,137,unknown
13763,no,6,High Contact,cellular,jul,10,30,blue-collar,primary,-336,unknown
13764,no,3,High Contact,cellular,jul,10,31,housemaid,secondary,12,unknown
13765,no,1,Low Contact,cellular,jul,10,56,management,tertiary,3885,unknown
13766,no,1,Low Contact,telephone,jul,10,32,services,secondary,0,unknown
13767,no,1,Low Contact,cellular,jul,10,33,admin,tertiary,55,unknown
13768,no,1,Low Contact,cellular,jul,10,54,admin,tertiary,59,unknown
13769,no,1,Low Contact,cellular,jul,10,31,management,tertiary,181,unknown
13770,no,1,Low Contact,cellular,jul,10,28,blue-collar,secondary,0,unknown
13771,no,1,Low Contact,cellular,jul,10,57,retired,tertiary,-5,unknown
13772,no,1,Low Contact,cellular,jul,10,33,admin,secondary,0,unknown
13773,no,1,Low Contact,cellular,jul,10,38,technician,secondary,-475,unknown
13774,no,1,Low Contact,telephone,jul,10,59,management,secondary,32,unknown
13775,no,1,Low Contact,cellular,jul,10,60,technician,secondary,594,unknown
13776,no,1,Low Contact,cellular,jul,10,59,retired,primary,20,unknown
13777,no,1,Low Contact,cellular,jul,10,57,services,secondary,334,unknown
13778,no,1,Low Contact,cellular,jul,10,41,management,tertiary,472,unknown
13779,no,1,Low Contact,cellular,jul,10,40,self-employed,primary,624,unknown
13780,no,1,Low Contact,cellular,jul,10,43,management,tertiary,4923,unknown
13781,no,1,Low Contact,cellular,jul,10,39,technician,secondary,709,unknown
13782,no,1,Low Contact,cellular,jul,10,38,admin,secondary,2246,unknown
13783,no,1,Low Contact,cellular,jul,10,33,blue-collar,secondary,17,unknown
13784,no,1,Low Contact,cellular,jul,10,50,management,tertiary,1612,unknown
13785,no,1,Low Contact,cellular,jul,10,41,technician,secondary,-215,unknown
13786,no,1,Low Contact,cellular,jul,10,46,blue-collar,secondary,190,unknown
13787,no,1,Low Contact,cellular,jul,10,35,services,secondary,25,unknown
13788,no,1,Low Contact,cellular,jul,10,33,management,tertiary,4054,unknown
13789,no,1,Low Contact,cellular,jul,10,37,blue-collar,secondary,2023,unknown
13790,no,1,Low Contact,cellular,jul,10,31,services,primary,46,unknown
13791,no,1,Low Contact,cellular,jul,10,36,admin,secondary,9002,unknown
13792,no,1,Low Contact,cellular,jul,10,30,admin,secondary,211,unknown
13793,no,2,Low Contact,cellular,jul,10,37,management,secondary,1981,unknown
13794,no,1,Low Contact,cellular,jul,10,32,blue-collar,secondary,1143,unknown
13795,no,1,Low Contact,cellular,jul,10,36,blue-collar,secondary,1127,unknown
13796,no,1,Low Contact,cellular,jul,10,36,entrepreneur,primary,3352,unknown
13797,no,1,Low Contact,cellular,jul,10,41,blue-collar,primary,76,unknown
13798,no,1,Low Contact,cellular,jul,10,30,management,tertiary,0,unknown
13799,no,1,Low Contact,cellular,jul,10,30,services,secondary,-298,unknown
13800,yes,1,Low Contact,cellular,jul,10,45,entrepreneur,unknown,3133,unknown
13801,no,1,Low Contact,cellular,jul,10,30,technician,tertiary,91,unknown
13802,yes,1,Low Contact,cellular,jul,10,34,admin,secondary,-33,unknown
13803,no,1,Low Contact,cellular,jul,10,42,blue-collar,secondary,898,unknown
13804,no,1,Low Contact,cellular,jul,10,43,self-employed,secondary,-1415,unknown
13805,no,1,Low Contact,cellular,jul,10,26,services,secondary,2063,unknown
13806,no,1,Low Contact,cellular,jul,10,45,admin,secondary,205,unknown
13807,no,1,Low Contact,cellular,jul,10,35,blue-collar,primary,0,unknown
13808,yes,1,Low Contact,telephone,jul,10,47,blue-collar,secondary,182,unknown
13809,yes,1,Low Contact,cellular,jul,10,59,admin,secondary,0,unknown
13810,no,1,Low Contact,cellular,jul,10,51,blue-collar,primary,0,unknown
13811,no,1,Low Contact,cellular,jul,10,29,technician,secondary,-33,unknown
13812,no,1,Low Contact,cellular,jul,10,39,blue-collar,primary,521,unknown
13813,no,1,Low Contact,cellular,jul,10,35,admin,secondary,-428,unknown
13814,no,1,Low Contact,cellular,jul,10,29,blue-collar,secondary,0,unknown
13815,no,1,Low Contact,cellular,jul,10,52,services,secondary,2072,unknown
13816,no,1,Low Contact,cellular,jul,10,29,services,secondary,-293,unknown
13817,no,1,Low Contact,cellular,jul,10,43,management,tertiary,177,unknown
13818,no,1,Low Contact,cellular,jul,10,34,self-employed,tertiary,0,unknown
13819,no,1,Low Contact,cellular,jul,10,38,blue-collar,primary,1351,unknown
13820,no,2,Low Contact,cellular,jul,10,58,retired,secondary,439,unknown
13821,no,1,Low Contact,cellular,jul,10,46,management,tertiary,445,unknown
13822,no,6,High Contact,cellular,jul,10,50,blue-collar,primary,-10,unknown
13823,no,1,Low Contact,cellular,jul,10,60,retired,tertiary,473,unknown
13824,no,1,Low Contact,cellular,jul,10,33,technician,tertiary,1746,unknown
13825,no,1,Low Contact,cellular,jul,10,48,blue-collar,secondary,4597,unknown
13826,no,4,High Contact,cellular,jul,10,28,services,secondary,72,unknown
13827,no,2,Low Contact,telephone,jul,10,57,retired,tertiary,29,unknown
13828,no,1,Low Contact,cellular,jul,10,56,retired,secondary,-890,unknown
13829,no,1,Low Contact,telephone,jul,10,34,admin,secondary,0,unknown
13830,no,1,Low Contact,cellular,jul,10,35,management,tertiary,292,unknown
13831,no,1,Low Contact,cellular,jul,10,47,technician,secondary,2246,unknown
13832,yes,1,Low Contact,cellular,jul,10,41,blue-collar,secondary,5517,unknown
13833,no,1,Low Contact,cellular,jul,10,51,blue-collar,primary,1236,unknown
13834,no,6,High Contact,cellular,jul,10,27,blue-collar,secondary,48,unknown
13835,no,1,Low Contact,cellular,jul,10,56,admin,primary,0,unknown
13836,no,1,Low Contact,cellular,jul,10,42,unknown,secondary,703,unknown
13837,no,1,Low Contact,cellular,jul,10,32,blue-collar,secondary,107,unknown
13838,no,1,Low Contact,cellular,jul,10,41,blue-collar,secondary,393,unknown
13839,no,1,Low Contact,cellular,jul,10,34,blue-collar,secondary,290,unknown
13840,no,1,Low Contact,cellular,jul,10,48,management,tertiary,0,unknown
13841,no,1,Low Contact,cellular,jul,10,36,management,tertiary,789,unknown
13842,no,1,Low Contact,cellular,jul,10,56,management,tertiary,1674,unknown
13843,no,1,Low Contact,cellular,jul,10,32,admin,secondary,0,unknown
13844,no,1,Low Contact,cellular,jul,10,43,blue-collar,primary,1968,unknown
13845,no,1,Low Contact,cellular,jul,10,35,admin,secondary,454,unknown
13846,no,1,Low Contact,cellular,jul,10,56,services,primary,966,unknown
13847,no,1,Low Contact,cellular,jul,10,32,services,secondary,-23,unknown
13848,no,1,Low Contact,telephone,jul,10,55,admin,secondary,645,unknown
13849,no,1,Low Contact,telephone,jul,10,34,technician,secondary,0,unknown
13850,no,1,Low Contact,cellular,jul,10,38,management,tertiary,219,unknown
13851,no,1,Low Contact,cellular,jul,10,55,retired,primary,386,unknown
13852,no,1,Low Contact,telephone,jul,10,37,blue-collar,secondary,563,unknown
13853,no,1,Low Contact,cellular,jul,10,56,services,secondary,140,unknown
13854,no,1,Low Contact,cellular,jul,10,37,admin,secondary,-261,unknown
13855,no,1,Low Contact,cellular,jul,10,51,admin,secondary,520,unknown
13856,no,1,Low Contact,cellular,jul,10,40,blue-collar,secondary,2158,unknown
13857,no,1,Low Contact,cellular,jul,10,33,management,tertiary,91,unknown
13858,no,1,Low Contact,cellular,jul,10,37,entrepreneur,tertiary,227,unknown
13859,no,3,High Contact,cellular,jul,10,33,blue-collar,secondary,-84,unknown
13860,no,1,Low Contact,cellular,jul,10,42,entrepreneur,tertiary,367,unknown
13861,no,1,Low Contact,cellular,jul,10,54,admin,secondary,791,unknown
13862,no,1,Low Contact,cellular,jul,10,49,blue-collar,secondary,1127,unknown
13863,no,1,Low Contact,cellular,jul,10,35,blue-collar,primary,0,unknown
13864,no,1,Low Contact,cellular,jul,10,35,admin,secondary,203,unknown
13865,no,1,Low Contact,cellular,jul,10,41,entrepreneur,secondary,-29,unknown
13866,no,1,Low Contact,cellular,jul,10,37,management,tertiary,15437,unknown
13867,no,1,Low Contact,cellular,jul,10,56,admin,secondary,510,unknown
13868,no,1,Low Contact,cellular,jul,10,36,blue-collar,secondary,580,unknown
13869,no,1,Low Contact,cellular,jul,10,36,management,tertiary,1013,unknown
13870,no,1,Low Contact,cellular,jul,10,34,admin,secondary,0,unknown
13871,no,1,Low Contact,cellular,jul,10,40,blue-collar,secondary,3571,unknown
13872,no,1,Low Contact,cellular,jul,10,34,blue-collar,secondary,0,unknown
13873,no,1,Low Contact,cellular,jul,10,34,self-employed,tertiary,870,unknown
13874,no,1,Low Contact,cellular,jul,10,38,admin,secondary,260,unknown
13875,no,9,High Contact,cellular,jul,10,39,technician,secondary,3,unknown
13876,no,1,Low Contact,cellular,jul,10,37,housemaid,primary,166,unknown
13877,no,1,Low Contact,cellular,jul,10,25,admin,secondary,19,unknown
13878,no,1,Low Contact,cellular,jul,10,39,services,secondary,54,unknown
13879,no,1,Low Contact,cellular,jul,10,36,services,secondary,82,unknown
13880,no,1,Low Contact,cellular,jul,10,34,management,tertiary,580,unknown
13881,no,1,Low Contact,cellular,jul,10,39,management,tertiary,-4,unknown
13882,no,1,Low Contact,cellular,jul,10,33,blue-collar,secondary,1786,unknown
13883,no,1,Low Contact,cellular,jul,10,31,technician,secondary,0,unknown
13884,no,6,High Contact,cellular,jul,10,60,retired,tertiary,2131,unknown
13885,no,1,Low Contact,cellular,jul,10,46,blue-collar,primary,-388,unknown
13886,no,1,Low Contact,telephone,jul,10,49,housemaid,primary,78,unknown
13887,no,1,Low Contact,cellular,jul,10,31,blue-collar,primary,2,unknown
13888,no,1,Low Contact,cellular,jul,10,56,retired,secondary,275,unknown
13889,no,1,Low Contact,cellular,jul,10,58,self-employed,secondary,9994,unknown
13890,no,1,Low Contact,cellular,jul,10,32,technician,secondary,0,unknown
13891,no,7,High Contact,cellular,jul,10,30,services,secondary,85,unknown
13892,no,1,Low Contact,cellular,jul,10,29,self-employed,secondary,1186,unknown
13893,yes,2,Low Contact,cellular,jul,10,28,admin,secondary,-170,unknown
13894,no,1,Low Contact,cellular,jul,10,50,admin,secondary,-130,unknown
13895,no,2,Low Contact,cellular,jul,10,60,management,tertiary,340,unknown
13896,no,1,Low Contact,telephone,jul,10,25,unemployed,tertiary,118,unknown
13897,no,1,Low Contact,cellular,jul,10,46,unemployed,tertiary,0,unknown
13898,no,1,Low Contact,telephone,jul,10,57,housemaid,secondary,158,unknown
13899,no,1,Low Contact,cellular,jul,10,26,technician,tertiary,170,unknown
13900,no,2,Low Contact,telephone,jul,10,57,admin,secondary,2,unknown
13901,no,1,Low Contact,telephone,jul,10,56,retired,tertiary,89,unknown
13902,no,1,Low Contact,telephone,jul,10,56,management,tertiary,586,unknown
13903,no,1,Low Contact,cellular,jul,10,53,retired,primary,61,unknown
13904,no,1,Low Contact,telephone,jul,10,58,retired,secondary,1067,unknown
13905,no,3,High Contact,cellular,jul,10,44,technician,secondary,2316,unknown
13906,no,5,High Contact,cellular,jul,10,58,retired,primary,11,unknown
13907,no,1,Low Contact,telephone,jul,10,27,blue-collar,secondary,87,unknown
13908,no,1,Low Contact,telephone,jul,10,29,technician,secondary,1714,unknown
13909,no,1,Low Contact,cellular,jul,10,35,services,secondary,-504,unknown
13910,no,1,Low Contact,cellular,jul,10,59,blue-collar,unknown,454,unknown
13911,yes,1,Low Contact,cellular,jul,10,29,blue-collar,secondary,8,unknown
13912,no,1,Low Contact,telephone,jul,10,34,admin,secondary,2378,unknown
13913,no,1,Low Contact,cellular,jul,10,30,entrepreneur,secondary,1160,unknown
13914,yes,7,High Contact,cellular,jul,10,25,blue-collar,secondary,1243,unknown
13915,yes,1,Low Contact,cellular,jul,10,30,blue-collar,secondary,1598,unknown
13916,no,1,Low Contact,cellular,jul,10,54,management,tertiary,0,unknown
13917,no,1,Low Contact,cellular,jul,10,36,admin,secondary,786,unknown
13918,no,1,Low Contact,cellular,jul,10,53,blue-collar,secondary,684,unknown
13919,no,1,Low Contact,cellular,jul,10,26,admin,secondary,81,unknown
13920,no,1,Low Contact,cellular,jul,10,31,housemaid,secondary,0,unknown
13921,no,1,Low Contact,cellular,jul,10,33,management,tertiary,1163,unknown
13922,no,1,Low Contact,cellular,jul,10,32,blue-collar,secondary,0,unknown
13923,no,1,Low Contact,cellular,jul,10,45,admin,secondary,1387,unknown
13924,no,1,Low Contact,cellular,jul,10,32,services,secondary,264,unknown
13925,no,1,Low Contact,cellular,jul,10,41,blue-collar,primary,54,unknown
13926,no,6,High Contact,cellular,jul,10,37,blue-collar,secondary,-54,unknown
13927,yes,5,High Contact,cellular,jul,10,30,services,secondary,5,unknown
13928,yes,4,High Contact,cellular,jul,10,47,services,secondary,367,unknown
13929,no,1,Low Contact,telephone,jul,10,35,blue-collar,secondary,609,unknown
13930,no,17,High Contact,cellular,jul,10,47,admin,secondary,3386,unknown
13931,no,1,Low Contact,telephone,jul,10,59,technician,secondary,925,unknown
13932,no,7,High Contact,telephone,jul,10,58,management,tertiary,0,unknown
13933,yes,1,Low Contact,cellular,jul,10,57,admin,secondary,658,unknown
13934,yes,1,Low Contact,cellular,jul,10,38,management,tertiary,1722,unknown
13935,no,2,Low Contact,cellular,jul,10,34,management,secondary,5127,unknown
13936,no,1,Low Contact,cellular,jul,10,28,blue-collar,secondary,339,unknown
13937,yes,1,Low Contact,cellular,jul,10,54,technician,secondary,-315,unknown
13938,no,3,High Contact,cellular,jul,10,28,technician,tertiary,1198,unknown
13939,no,2,Low Contact,cellular,jul,10,37,blue-collar,secondary,0,unknown
13940,no,1,Low Contact,cellular,jul,10,34,management,tertiary,1171,unknown
13941,no,1,Low Contact,cellular,jul,10,59,management,secondary,0,unknown
13942,no,2,Low Contact,cellular,jul,10,29,admin,secondary,795,unknown
13943,no,2,Low Contact,cellular,jul,10,46,blue-collar,secondary,-319,unknown
13944,no,1,Low Contact,cellular,jul,10,49,retired,primary,192,unknown
13945,yes,3,High Contact,cellular,jul,10,25,blue-collar,primary,2483,unknown
13946,no,1,Low Contact,cellular,jul,10,37,housemaid,primary,199,unknown
13947,no,5,High Contact,cellular,jul,10,58,technician,secondary,201,unknown
13948,no,1,Low Contact,cellular,jul,10,37,unemployed,tertiary,0,unknown
13949,no,6,High Contact,cellular,jul,10,30,technician,tertiary,1338,unknown
13950,no,1,Low Contact,cellular,jul,10,34,services,secondary,80,unknown
13951,no,1,Low Contact,cellular,jul,10,50,services,secondary,892,unknown
13952,no,1,Low Contact,cellular,jul,10,41,entrepreneur,tertiary,958,unknown
13953,no,3,High Contact,telephone,jul,10,50,blue-collar,primary,888,unknown
13954,no,1,Low Contact,cellular,jul,10,44,admin,secondary,-101,unknown
