id,y,conversion,contact_group,age_group,balance_group,poutcome,job,education,month,balance
10482,no,0,High Contact,49-95,High Balance,unknown,housemaid,secondary,jun,1977
10483,no,0,High Contact,40-48,High Balance,unknown,technician,unknown,jun,5543
10484,no,0,High Contact,40-48,Low Balance,unknown,admin,secondary,jun,32
10485,yes,1,Low Contact,49-95,Mid Balance,unknown,blue-collar,primary,jun,361
10486,no,0,Low Contact,33-39,Low Balance,unknown,technician,secondary,jun,175
10487,no,0,High Contact,40-48,Mid Balance,unknown,retired,secondary,jun,477
10488,no,0,Low Contact,49-95,Mid Balance,unknown,housemaid,primary,jun,657
10489,no,0,Low Contact,49-95,High Balance,unknown,housemaid,primary,jun,3436
10490,no,0,High Contact,40-48,High Balance,unknown,services,secondary,jun,2346
10491,no,0,High Contact,33-39,Low Balance,unknown,blue-collar,secondary,jun,213
10492,no,0,High Contact,40-48,Low Balance,unknown,management,tertiary,jun,60
10493,no,0,High Contact,33-39,High Balance,unknown,services,secondary,jun,5000
10494,no,0,Low Contact,33-39,Mid Balance,unknown,blue-collar,secondary,jun,727
10495,no,0,High Contact,40-48,High Balance,unknown,services,secondary,jun,2044
10496,no,0,High Contact,40-48,High Balance,unknown,housemaid,primary,jun,5908
10497,yes,1,High Contact,33-39,Low Balance,unknown,blue-collar,secondary,jun,274
10498,no,0,High Contact,33-39,High Balance,unknown,unemployed,tertiary,jun,11787
10499,no,0,High Contact,33-39,Mid Balance,unknown,services,tertiary,jun,1018
10500,no,0,High Contact,40-48,Low Balance,unknown,blue-collar,secondary,jun,296
10501,no,0,High Contact,33-39,High Balance,unknown,blue-collar,secondary,jun,4723
10502,no,0,High Contact,33-39,Non-Positive,unknown,services,secondary,jun,-62
10503,no,0,Low Contact,49-95,High Balance,unknown,self-employed,primary,jun,2636
10504,yes,1,High Contact,49-95,High Balance,unknown,retired,tertiary,jun,3687
10505,no,0,High Contact,40-48,Low Balance,unknown,technician,secondary,jun,68
10506,no,0,High Contact,49-95,High Balance,unknown,management,secondary,jun,2216
10507,no,0,High Contact,33-39,High Balance,unknown,services,secondary,jun,1279
10508,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,primary,jun,24
10509,yes,1,High Contact,33-39,High Balance,unknown,blue-collar,secondary,jun,1627
10510,no,0,High Contact,33-39,High Balance,unknown,blue-collar,primary,jun,6085
10511,no,0,Low Contact,33-39,Non-Positive,unknown,blue-collar,primary,jun,-255
10512,no,0,High Contact,33-39,Mid Balance,unknown,blue-collar,secondary,jun,1120
10513,no,0,High Contact,49-95,Low Balance,unknown,technician,secondary,jun,116
10514,no,0,High Contact,18-33,Non-Positive,unknown,technician,secondary,jun,-1185
10515,no,0,Low Contact,49-95,Non-Positive,unknown,blue-collar,secondary,jun,-918
10516,no,0,High Contact,49-95,Non-Positive,unknown,unemployed,secondary,jun,0
10517,no,0,High Contact,40-48,High Balance,unknown,management,tertiary,jun,1493
10518,no,0,High Contact,40-48,Low Balance,unknown,blue-collar,primary,jun,7
10519,no,0,High Contact,40-48,Low Balance,unknown,services,secondary,jun,256
10520,no,0,High Contact,49-95,Mid Balance,unknown,management,unknown,jun,721
10521,no,0,High Contact,18-33,Mid Balance,unknown,technician,secondary,jun,510
10522,no,0,Low Contact,40-48,Mid Balance,unknown,technician,secondary,jun,454
10523,no,0,High Contact,18-33,Mid Balance,unknown,admin,secondary,jun,372
10524,no,0,Low Contact,40-48,Mid Balance,unknown,technician,unknown,jun,1156
10525,no,0,High Contact,33-39,High Balance,unknown,blue-collar,primary,jun,4143
10526,no,0,Low Contact,40-48,High Balance,unknown,management,unknown,jun,2982
10527,no,0,High Contact,49-95,Non-Positive,unknown,retired,primary,jun,0
10528,no,0,Low Contact,40-48,High Balance,unknown,management,unknown,jun,1604
10529,no,0,High Contact,33-39,Low Balance,unknown,management,tertiary,jun,47
10530,no,0,Low Contact,49-95,Low Balance,unknown,services,primary,jun,294
10531,no,0,Low Contact,40-48,High Balance,unknown,entrepreneur,tertiary,jun,1678
10532,no,0,Low Contact,40-48,High Balance,unknown,self-employed,secondary,jun,6553
10533,no,0,Low Contact,18-33,Low Balance,unknown,services,tertiary,jun,44
10534,no,0,High Contact,49-95,High Balance,unknown,blue-collar,primary,jun,3111
10535,no,0,High Contact,49-95,Non-Positive,unknown,management,primary,jun,0
10536,no,0,Low Contact,40-48,Mid Balance,unknown,management,unknown,jun,582
10537,no,0,High Contact,40-48,Non-Positive,unknown,technician,tertiary,jun,0
10538,no,0,High Contact,33-39,Non-Positive,unknown,services,secondary,jun,-58
10539,no,0,Low Contact,49-95,Mid Balance,unknown,management,primary,jun,740
10540,no,0,High Contact,40-48,Non-Positive,unknown,management,tertiary,jun,0
10541,no,0,Low Contact,40-48,Mid Balance,unknown,management,tertiary,jun,342
10542,no,0,Low Contact,33-39,Mid Balance,unknown,blue-collar,secondary,jun,808
10543,yes,1,Low Contact,40-48,Low Balance,unknown,entrepreneur,unknown,jun,323
10544,no,0,Low Contact,40-48,Non-Positive,unknown,management,tertiary,jun,-380
10545,no,0,High Contact,40-48,Mid Balance,unknown,technician,secondary,jun,902
10546,no,0,High Contact,49-95,Mid Balance,unknown,admin,secondary,jun,924
10547,no,0,Low Contact,33-39,Low Balance,unknown,management,tertiary,jun,57
10548,no,0,Low Contact,40-48,Low Balance,unknown,services,secondary,jun,167
10549,no,0,High Contact,33-39,High Balance,unknown,blue-collar,primary,jun,3154
10550,no,0,Low Contact,40-48,High Balance,unknown,blue-collar,secondary,jun,3037
10551,no,0,Low Contact,18-33,Mid Balance,unknown,blue-collar,secondary,jun,598
10552,no,0,High Contact,33-39,Mid Balance,unknown,services,secondary,jun,373
10553,no,0,High Contact,40-48,High Balance,unknown,blue-collar,secondary,jun,2413
10554,no,0,Low Contact,33-39,High Balance,unknown,admin,primary,jun,7208
10555,no,0,Low Contact,40-48,High Balance,unknown,unemployed,primary,jun,4232
10556,yes,1,Low Contact,33-39,Mid Balance,unknown,services,secondary,jun,981
10557,no,0,Low Contact,49-95,Mid Balance,unknown,blue-collar,secondary,jun,969
10558,yes,1,Low Contact,33-39,Mid Balance,unknown,blue-collar,secondary,jun,638
10559,no,0,High Contact,49-95,Mid Balance,unknown,admin,secondary,jun,504
10560,no,0,Low Contact,18-33,High Balance,unknown,management,tertiary,jun,5894
10561,no,0,High Contact,33-39,Low Balance,unknown,blue-collar,primary,jun,207
10562,no,0,Low Contact,49-95,High Balance,unknown,retired,tertiary,jun,3708
10563,no,0,High Contact,49-95,Non-Positive,unknown,blue-collar,primary,jun,0
10564,no,0,Low Contact,33-39,Mid Balance,unknown,technician,tertiary,jun,606
10565,no,0,Low Contact,40-48,Mid Balance,unknown,retired,tertiary,jun,1225
10566,no,0,Low Contact,33-39,Mid Balance,unknown,blue-collar,unknown,jun,422
10567,no,0,Low Contact,40-48,High Balance,unknown,services,unknown,jun,5095
10568,no,0,High Contact,49-95,High Balance,unknown,retired,tertiary,jun,2929
10569,no,0,Low Contact,49-95,High Balance,unknown,housemaid,primary,jun,13292
10570,no,0,Low Contact,33-39,Mid Balance,unknown,management,tertiary,jun,627
10571,no,0,Low Contact,49-95,Low Balance,unknown,services,secondary,jun,197
10572,no,0,Low Contact,33-39,Low Balance,unknown,technician,tertiary,jun,38
10573,no,0,Low Contact,33-39,High Balance,unknown,blue-collar,primary,jun,3705
10574,no,0,High Contact,49-95,Non-Positive,unknown,blue-collar,secondary,jun,0
10575,no,0,High Contact,33-39,Low Balance,unknown,services,secondary,jun,40
10576,no,0,High Contact,49-95,Mid Balance,unknown,blue-collar,secondary,jun,853
10577,no,0,Low Contact,33-39,Non-Positive,unknown,blue-collar,primary,jun,-107
10578,no,0,Low Contact,33-39,Low Balance,unknown,blue-collar,primary,jun,298
10579,no,0,High Contact,40-48,Mid Balance,unknown,blue-collar,primary,jun,389
10580,no,0,Low Contact,49-95,High Balance,unknown,housemaid,secondary,jun,2406
10581,no,0,Low Contact,49-95,High Balance,unknown,retired,primary,jun,2722
10582,no,0,Low Contact,40-48,High Balance,unknown,blue-collar,secondary,jun,6215
10583,no,0,Low Contact,33-39,High Balance,unknown,technician,secondary,jun,1828
10584,no,0,Low Contact,49-95,Mid Balance,unknown,retired,primary,jun,903
10585,no,0,High Contact,40-48,Mid Balance,unknown,blue-collar,primary,jun,554
10586,no,0,Low Contact,49-95,Low Balance,unknown,management,primary,jun,330
10587,no,0,Low Contact,40-48,Mid Balance,unknown,blue-collar,secondary,jun,876
10588,no,0,Low Contact,33-39,High Balance,unknown,blue-collar,primary,jun,1602
10589,no,0,Low Contact,33-39,Low Balance,unknown,self-employed,secondary,jun,30
10590,no,0,Low Contact,49-95,Mid Balance,unknown,technician,tertiary,jun,728
10591,no,0,Low Contact,33-39,Non-Positive,unknown,blue-collar,secondary,jun,0
10592,no,0,Low Contact,40-48,High Balance,unknown,blue-collar,secondary,jun,2256
10593,no,0,High Contact,33-39,Mid Balance,unknown,unemployed,secondary,jun,490
10594,yes,1,Low Contact,40-48,High Balance,unknown,unemployed,tertiary,jun,3229
10595,no,0,Low Contact,33-39,High Balance,unknown,blue-collar,primary,jun,3214
10596,no,0,High Contact,49-95,High Balance,unknown,technician,tertiary,jun,6072
10597,no,0,High Contact,18-33,Mid Balance,unknown,technician,secondary,jun,363
10598,no,0,High Contact,18-33,Mid Balance,unknown,management,secondary,jun,584
10599,no,0,High Contact,49-95,High Balance,unknown,management,primary,jun,21292
10600,no,0,High Contact,18-33,Low Balance,unknown,blue-collar,secondary,jun,294
10601,no,0,Low Contact,49-95,High Balance,unknown,retired,primary,jun,1381
10602,no,0,Low Contact,40-48,High Balance,unknown,housemaid,primary,jun,2351
10603,no,0,Low Contact,33-39,High Balance,unknown,blue-collar,secondary,jun,2962
10604,no,0,High Contact,49-95,High Balance,unknown,services,secondary,jun,3250
10605,no,0,High Contact,49-95,Mid Balance,unknown,entrepreneur,tertiary,jun,461
10606,no,0,Low Contact,49-95,Non-Positive,unknown,management,unknown,jun,0
10607,no,0,High Contact,49-95,High Balance,unknown,services,secondary,jun,12180
10608,no,0,High Contact,33-39,High Balance,unknown,services,secondary,jun,3321
10609,no,0,Low Contact,49-95,High Balance,unknown,blue-collar,primary,jun,4882
10610,no,0,High Contact,40-48,Mid Balance,unknown,entrepreneur,secondary,jun,757
10611,no,0,Low Contact,33-39,Mid Balance,unknown,management,tertiary,jun,400
10612,no,0,Low Contact,40-48,High Balance,unknown,admin,tertiary,jun,1287
10613,no,0,Low Contact,49-95,High Balance,unknown,self-employed,tertiary,jun,2007
10614,no,0,Low Contact,40-48,Mid Balance,unknown,admin,secondary,jun,538
10615,yes,1,High Contact,49-95,High Balance,unknown,management,secondary,jun,1610
10616,no,0,High Contact,49-95,Low Balance,unknown,management,tertiary,jun,25
10617,no,0,High Contact,40-48,Non-Positive,unknown,technician,tertiary,jun,-813
10618,no,0,Low Contact,33-39,High Balance,unknown,technician,secondary,jun,2321
10619,no,0,High Contact,33-39,Non-Positive,unknown,management,tertiary,jun,-469
10620,no,0,Low Contact,49-95,Non-Positive,unknown,retired,primary,jun,0
10621,no,0,Low Contact,33-39,High Balance,unknown,services,secondary,jun,1559
10622,no,0,Low Contact,33-39,High Balance,unknown,management,secondary,jun,2198
10623,no,0,Low Contact,33-39,Low Balance,unknown,management,tertiary,jun,317
10624,no,0,Low Contact,49-95,Mid Balance,unknown,technician,secondary,jun,775
10625,no,0,Low Contact,33-39,Non-Positive,unknown,housemaid,tertiary,jun,-1941
10626,no,0,Low Contact,49-95,Non-Positive,unknown,technician,secondary,jun,-435
10627,no,0,Low Contact,33-39,Low Balance,unknown,housemaid,secondary,jun,285
10628,no,0,Low Contact,40-48,Mid Balance,unknown,technician,tertiary,jun,533
10629,no,0,Low Contact,40-48,Mid Balance,unknown,blue-collar,tertiary,jun,993
10630,no,0,Low Contact,49-95,High Balance,unknown,technician,tertiary,jun,4359
10631,no,0,Low Contact,49-95,Mid Balance,unknown,blue-collar,secondary,jun,887
10632,no,0,Low Contact,33-39,Mid Balance,unknown,services,secondary,jun,1092
10633,no,0,Low Contact,49-95,Non-Positive,unknown,technician,unknown,jun,0
10634,no,0,Low Contact,49-95,Low Balance,unknown,entrepreneur,primary,jun,29
10635,no,0,Low Contact,33-39,Low Balance,unknown,admin,primary,jun,237
10636,no,0,High Contact,40-48,High Balance,unknown,unknown,unknown,jun,3940
10637,no,0,High Contact,33-39,High Balance,unknown,admin,secondary,jun,5270
10638,no,0,Low Contact,33-39,High Balance,unknown,admin,primary,jun,2355
10639,no,0,Low Contact,33-39,Non-Positive,unknown,self-employed,tertiary,jun,0
10640,no,0,Low Contact,49-95,High Balance,unknown,blue-collar,primary,jun,4641
10641,no,0,Low Contact,33-39,Mid Balance,unknown,admin,secondary,jun,952
10642,no,0,Low Contact,33-39,Low Balance,unknown,admin,secondary,jun,306
10643,no,0,Low Contact,33-39,Mid Balance,unknown,services,secondary,jun,439
10644,no,0,Low Contact,49-95,Low Balance,unknown,entrepreneur,secondary,jun,2
10645,no,0,Low Contact,33-39,High Balance,unknown,blue-collar,primary,jun,3751
10646,no,0,High Contact,49-95,Non-Positive,unknown,blue-collar,unknown,jun,0
10647,no,0,Low Contact,33-39,Mid Balance,unknown,services,secondary,jun,1175
10648,no,0,High Contact,49-95,Non-Positive,unknown,admin,secondary,jun,-13
10649,no,0,High Contact,49-95,Mid Balance,unknown,blue-collar,primary,jun,416
10650,no,0,High Contact,40-48,Low Balance,unknown,blue-collar,primary,jun,50
10651,no,0,Low Contact,33-39,High Balance,unknown,housemaid,primary,jun,15352
10652,no,0,High Contact,49-95,Low Balance,unknown,blue-collar,primary,jun,96
10653,no,0,High Contact,18-33,Mid Balance,unknown,services,secondary,jun,384
10654,no,0,Low Contact,49-95,Mid Balance,unknown,retired,primary,jun,1085
10655,no,0,Low Contact,40-48,High Balance,unknown,blue-collar,primary,jun,8014
10656,no,0,Low Contact,33-39,High Balance,unknown,services,secondary,jun,1336
10657,no,0,Low Contact,49-95,Low Balance,unknown,retired,secondary,jun,136
10658,no,0,Low Contact,40-48,Non-Positive,unknown,management,tertiary,jun,0
10659,no,0,High Contact,40-48,Low Balance,unknown,services,unknown,jun,159
10660,no,0,Low Contact,49-95,Low Balance,unknown,housemaid,primary,jun,4
10661,no,0,Low Contact,33-39,High Balance,unknown,admin,secondary,jun,4698
10662,no,0,Low Contact,40-48,High Balance,unknown,admin,secondary,jun,4307
10663,no,0,Low Contact,49-95,High Balance,unknown,blue-collar,primary,jun,1250
10664,no,0,Low Contact,40-48,Non-Positive,unknown,technician,secondary,jun,0
10665,yes,1,High Contact,49-95,Low Balance,unknown,blue-collar,secondary,jun,33
10666,no,0,High Contact,49-95,Low Balance,unknown,technician,secondary,jun,145
10667,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,secondary,jun,167
10668,no,0,High Contact,40-48,Low Balance,unknown,blue-collar,secondary,jun,214
10669,no,0,High Contact,49-95,Low Balance,unknown,services,primary,jun,31
10670,no,0,Low Contact,49-95,High Balance,unknown,management,tertiary,jun,3191
10671,no,0,High Contact,33-39,High Balance,unknown,admin,tertiary,jun,12581
10672,no,0,High Contact,49-95,Low Balance,unknown,entrepreneur,tertiary,jun,196
10673,no,0,High Contact,33-39,High Balance,unknown,admin,secondary,jun,1295
10674,no,0,Low Contact,33-39,High Balance,unknown,blue-collar,primary,jun,4608
10675,no,0,High Contact,40-48,Non-Positive,unknown,blue-collar,secondary,jun,-100
10676,no,0,High Contact,33-39,Non-Positive,unknown,blue-collar,secondary,jun,-281
10677,no,0,High Contact,49-95,High Balance,unknown,entrepreneur,tertiary,jun,2198
10678,no,0,High Contact,40-48,Mid Balance,unknown,entrepreneur,tertiary,jun,373
10679,no,0,High Contact,40-48,Low Balance,unknown,management,tertiary,jun,203
10680,no,0,High Contact,33-39,Mid Balance,unknown,admin,secondary,jun,439
10681,no,0,High Contact,40-48,High Balance,unknown,admin,secondary,jun,3165
10682,no,0,High Contact,49-95,Mid Balance,unknown,blue-collar,secondary,jun,1093
10683,no,0,Low Contact,33-39,Low Balance,unknown,blue-collar,unknown,jun,75
10684,yes,1,Low Contact,40-48,Mid Balance,unknown,technician,secondary,jun,536
10685,no,0,High Contact,40-48,High Balance,unknown,admin,secondary,jun,1696
10686,no,0,Low Contact,49-95,High Balance,unknown,blue-collar,unknown,jun,2222
10687,no,0,High Contact,33-39,Mid Balance,unknown,technician,tertiary,jun,756
10688,no,0,High Contact,49-95,High Balance,unknown,management,tertiary,jun,2005
10689,no,0,Low Contact,33-39,Low Balance,unknown,entrepreneur,tertiary,jun,264
10690,no,0,High Contact,40-48,High Balance,unknown,services,unknown,jun,4075
10691,no,0,Low Contact,40-48,High Balance,unknown,blue-collar,secondary,jun,4840
10692,no,0,Low Contact,49-95,High Balance,unknown,housemaid,primary,jun,3680
10693,no,0,High Contact,49-95,High Balance,unknown,self-employed,tertiary,jun,2627
10694,no,0,Low Contact,49-95,Non-Positive,unknown,management,tertiary,jun,0
10695,no,0,Low Contact,33-39,High Balance,unknown,blue-collar,secondary,jun,3764
10696,no,0,High Contact,49-95,High Balance,unknown,technician,unknown,jun,1725
10697,no,0,High Contact,49-95,Mid Balance,unknown,services,secondary,jun,725
10698,no,0,High Contact,18-33,Low Balance,unknown,blue-collar,secondary,jun,235
10699,no,0,High Contact,40-48,High Balance,unknown,blue-collar,primary,jun,1752
10700,no,0,High Contact,33-39,Low Balance,unknown,management,tertiary,jun,93
10701,no,0,High Contact,33-39,High Balance,unknown,management,tertiary,jun,7124
10702,no,0,High Contact,33-39,High Balance,unknown,admin,tertiary,jun,2741
10703,no,0,Low Contact,40-48,Mid Balance,unknown,blue-collar,primary,jun,667
10704,no,0,Low Contact,40-48,Low Balance,unknown,housemaid,unknown,jun,72
10705,no,0,Low Contact,33-39,Mid Balance,unknown,admin,secondary,jun,1116
10706,no,0,Low Contact,40-48,Mid Balance,unknown,management,tertiary,jun,647
10707,no,0,Low Contact,49-95,High Balance,unknown,technician,unknown,jun,1695
10708,no,0,Low Contact,33-39,Low Balance,unknown,services,unknown,jun,2
10709,no,0,High Contact,49-95,Non-Positive,unknown,admin,secondary,jun,-192
10710,no,0,Low Contact,40-48,Mid Balance,unknown,blue-collar,primary,jun,389
10711,no,0,Low Contact,40-48,Mid Balance,unknown,housemaid,unknown,jun,1035
10712,no,0,Low Contact,33-39,Low Balance,unknown,admin,secondary,jun,16
10713,no,0,High Contact,40-48,Non-Positive,unknown,management,secondary,jun,0
10714,no,0,Low Contact,49-95,High Balance,unknown,blue-collar,unknown,jun,3096
10715,no,0,High Contact,33-39,High Balance,unknown,blue-collar,primary,jun,4166
10716,no,0,Low Contact,33-39,Low Balance,unknown,technician,secondary,jun,94
10717,no,0,Low Contact,33-39,High Balance,unknown,technician,tertiary,jun,1832
10718,no,0,Low Contact,49-95,Mid Balance,unknown,retired,primary,jun,470
10719,no,0,High Contact,40-48,Low Balance,unknown,management,tertiary,jun,270
10720,no,0,High Contact,49-95,High Balance,unknown,blue-collar,primary,jun,5050
10721,no,0,Low Contact,49-95,Mid Balance,unknown,entrepreneur,tertiary,jun,388
10722,yes,1,High Contact,33-39,Non-Positive,unknown,management,tertiary,jun,0
10723,no,0,High Contact,49-95,Mid Balance,unknown,entrepreneur,secondary,jun,535
10724,no,0,Low Contact,49-95,Mid Balance,unknown,retired,primary,jun,1156
10725,no,0,High Contact,40-48,Mid Balance,unknown,housemaid,primary,jun,938
10726,no,0,High Contact,33-39,Low Balance,unknown,housemaid,tertiary,jun,240
10727,yes,1,High Contact,33-39,High Balance,unknown,entrepreneur,tertiary,jun,3057
10728,no,0,High Contact,33-39,Non-Positive,unknown,management,tertiary,jun,-1212
10729,no,0,High Contact,18-33,Low Balance,unknown,self-employed,tertiary,jun,6
10730,no,0,High Contact,40-48,Mid Balance,unknown,technician,tertiary,jun,671
10731,no,0,High Contact,49-95,Low Balance,unknown,unemployed,primary,jun,278
10732,no,0,Low Contact,33-39,Mid Balance,unknown,blue-collar,primary,jun,736
10733,no,0,Low Contact,40-48,Non-Positive,unknown,entrepreneur,primary,jun,0
10734,no,0,Low Contact,49-95,Low Balance,unknown,housemaid,primary,jun,108
10735,no,0,High Contact,49-95,Mid Balance,unknown,blue-collar,primary,jun,835
10736,no,0,High Contact,40-48,Mid Balance,unknown,blue-collar,primary,jun,1080
10737,no,0,High Contact,33-39,Mid Balance,unknown,technician,tertiary,jun,579
10738,no,0,High Contact,40-48,High Balance,unknown,management,secondary,jun,2580
10739,no,0,High Contact,49-95,Mid Balance,unknown,unknown,secondary,jun,1241
10740,no,0,High Contact,40-48,Non-Positive,unknown,admin,secondary,jun,0
10741,no,0,High Contact,33-39,High Balance,unknown,management,secondary,jun,2445
10742,no,0,Low Contact,49-95,Mid Balance,unknown,technician,tertiary,jun,417
10743,no,0,High Contact,40-48,High Balance,unknown,management,tertiary,jun,1847
10744,no,0,Low Contact,49-95,Mid Balance,unknown,admin,primary,jun,987
10745,no,0,High Contact,49-95,Non-Positive,unknown,management,unknown,jun,0
10746,no,0,High Contact,49-95,High Balance,unknown,management,primary,jun,5914
10747,no,0,Low Contact,33-39,Non-Positive,unknown,entrepreneur,secondary,jun,-272
10748,no,0,High Contact,33-39,Non-Positive,unknown,technician,tertiary,jun,0
10749,no,0,Low Contact,49-95,High Balance,unknown,admin,secondary,jun,2967
10750,no,0,High Contact,49-95,High Balance,unknown,management,tertiary,jun,21664
10751,no,0,High Contact,40-48,Mid Balance,unknown,management,primary,jun,538
10752,no,0,High Contact,18-33,Non-Positive,unknown,technician,secondary,jun,-720
10753,no,0,High Contact,18-33,Low Balance,unknown,self-employed,secondary,jun,92
10754,no,0,High Contact,49-95,Mid Balance,unknown,management,primary,jun,1136
10755,no,0,High Contact,33-39,Non-Positive,unknown,management,tertiary,jun,0
10756,no,0,High Contact,33-39,Low Balance,unknown,self-employed,tertiary,jun,333
10757,no,0,High Contact,33-39,Low Balance,unknown,services,secondary,jun,105
10758,no,0,High Contact,49-95,Non-Positive,unknown,blue-collar,secondary,jun,-55
10759,no,0,Low Contact,33-39,High Balance,unknown,blue-collar,primary,jun,1262
10760,no,0,High Contact,18-33,Mid Balance,unknown,self-employed,secondary,jun,421
10761,no,0,High Contact,33-39,High Balance,unknown,management,primary,jun,2026
10762,no,0,High Contact,49-95,High Balance,unknown,blue-collar,primary,jun,2896
10763,no,0,High Contact,49-95,Mid Balance,unknown,blue-collar,primary,jun,1046
10764,no,0,High Contact,40-48,High Balance,unknown,management,tertiary,jun,3091
10765,no,0,Low Contact,33-39,Mid Balance,unknown,housemaid,primary,jun,1088
10766,no,0,High Contact,49-95,High Balance,unknown,blue-collar,unknown,jun,1537
10767,no,0,High Contact,40-48,Mid Balance,unknown,blue-collar,primary,jun,866
10768,no,0,Low Contact,49-95,Mid Balance,unknown,self-employed,secondary,jun,372
10769,no,0,High Contact,33-39,Mid Balance,unknown,technician,secondary,jun,403
10770,no,0,Low Contact,33-39,High Balance,unknown,management,tertiary,jun,1374
10771,no,0,Low Contact,33-39,High Balance,unknown,services,secondary,jun,1313
10772,no,0,High Contact,49-95,Low Balance,unknown,entrepreneur,secondary,jun,27
10773,no,0,High Contact,49-95,Non-Positive,unknown,management,tertiary,jun,0
10774,no,0,Low Contact,33-39,High Balance,unknown,blue-collar,primary,jun,2169
10775,no,0,High Contact,40-48,Mid Balance,unknown,housemaid,secondary,jun,698
10776,no,0,Low Contact,40-48,Non-Positive,unknown,blue-collar,primary,jun,0
10777,no,0,High Contact,49-95,Mid Balance,unknown,retired,secondary,jun,466
10778,no,0,Low Contact,33-39,Mid Balance,unknown,services,tertiary,jun,718
10779,no,0,Low Contact,49-95,High Balance,unknown,technician,primary,jun,1498
10780,no,0,Low Contact,33-39,High Balance,unknown,admin,tertiary,jun,2600
10781,no,0,Low Contact,49-95,Mid Balance,unknown,retired,primary,jun,1098
10782,no,0,Low Contact,49-95,Non-Positive,unknown,retired,primary,jun,0
10783,no,0,Low Contact,33-39,Low Balance,unknown,blue-collar,secondary,jun,123
10784,no,0,High Contact,49-95,Non-Positive,unknown,retired,secondary,jun,0
10785,no,0,Low Contact,33-39,High Balance,unknown,technician,tertiary,jun,2496
10786,no,0,Low Contact,49-95,Mid Balance,unknown,technician,unknown,jun,562
10787,no,0,Low Contact,40-48,Low Balance,unknown,housemaid,primary,jun,103
10788,no,0,Low Contact,33-39,Mid Balance,unknown,services,secondary,jun,361
10789,no,0,Low Contact,40-48,High Balance,unknown,technician,secondary,jun,1385
10790,no,0,Low Contact,40-48,Mid Balance,unknown,management,tertiary,jun,676
10791,no,0,Low Contact,33-39,Mid Balance,unknown,blue-collar,secondary,jun,426
10792,no,0,High Contact,40-48,Low Balance,unknown,technician,secondary,jun,130
10793,no,0,Low Contact,49-95,Non-Positive,unknown,management,primary,jun,0
10794,no,0,Low Contact,40-48,Non-Positive,unknown,admin,secondary,jun,-58
10795,no,0,Low Contact,49-95,High Balance,unknown,technician,tertiary,jun,2512
10796,no,0,Low Contact,49-95,Low Balance,unknown,retired,secondary,jun,296
10797,no,0,Low Contact,49-95,High Balance,unknown,blue-collar,unknown,jun,6622
10798,no,0,Low Contact,49-95,Mid Balance,unknown,management,tertiary,jun,391
10799,no,0,Low Contact,33-39,High Balance,unknown,blue-collar,primary,jun,1564
10800,no,0,Low Contact,40-48,High Balance,unknown,blue-collar,primary,jun,1670
10801,no,0,Low Contact,40-48,High Balance,unknown,entrepreneur,tertiary,jun,1654
10802,no,0,Low Contact,33-39,Mid Balance,unknown,technician,secondary,jun,984
10803,no,0,Low Contact,40-48,High Balance,unknown,unemployed,secondary,jun,3287
10804,no,0,Low Contact,49-95,Non-Positive,unknown,admin,secondary,jun,-437
10805,no,0,High Contact,49-95,Mid Balance,unknown,services,secondary,jun,494
10806,no,0,Low Contact,40-48,Mid Balance,unknown,management,tertiary,jun,1234
10807,no,0,Low Contact,40-48,Mid Balance,unknown,admin,primary,jun,1078
10808,no,0,Low Contact,33-39,Mid Balance,unknown,blue-collar,secondary,jun,402
10809,no,0,High Contact,49-95,Mid Balance,unknown,management,tertiary,jun,854
10810,no,0,Low Contact,40-48,Mid Balance,unknown,management,tertiary,jun,438
10811,no,0,Low Contact,49-95,High Balance,unknown,retired,secondary,jun,1296
10812,no,0,Low Contact,33-39,High Balance,unknown,admin,secondary,jun,1891
10813,no,0,Low Contact,49-95,High Balance,unknown,retired,primary,jun,7938
10814,no,0,High Contact,33-39,High Balance,unknown,blue-collar,primary,jun,2040
10815,no,0,Low Contact,49-95,High Balance,unknown,entrepreneur,primary,jun,2138
10816,no,0,Low Contact,49-95,Mid Balance,unknown,blue-collar,primary,jun,686
10817,no,0,Low Contact,49-95,High Balance,unknown,retired,primary,jun,5799
10818,no,0,Low Contact,33-39,Mid Balance,unknown,admin,secondary,jun,810
10819,no,0,High Contact,40-48,Mid Balance,unknown,entrepreneur,tertiary,jun,1068
10820,no,0,Low Contact,33-39,Low Balance,unknown,services,secondary,jun,3
10821,no,0,Low Contact,49-95,High Balance,unknown,housemaid,primary,jun,2014
10822,no,0,Low Contact,33-39,Mid Balance,unknown,self-employed,secondary,jun,652
10823,no,0,Low Contact,49-95,High Balance,unknown,blue-collar,primary,jun,2190
10824,no,0,Low Contact,40-48,High Balance,unknown,retired,secondary,jun,1735
10825,yes,1,Low Contact,40-48,High Balance,unknown,management,secondary,jun,2892
10826,no,0,Low Contact,40-48,Mid Balance,unknown,management,tertiary,jun,439
10827,no,0,Low Contact,33-39,High Balance,unknown,self-employed,secondary,jun,4722
10828,no,0,Low Contact,40-48,Mid Balance,unknown,management,tertiary,jun,451
10829,no,0,Low Contact,49-95,High Balance,unknown,retired,primary,jun,2516
